num_pokedex,nombre,tipo1,tipo2,habilidad1,habilidad2,hab_oculta,peso,altura,ps,ataque,defensa,spatk,spdef,velocidad
0179,Mareep,Tipo eléctrico,,Electricidad estática,,Más,"7,8 kg","0,6 m",55,40,40,65,45,35
0180,Flaaffy,Tipo eléctrico,,Electricidad estática,,Más,"13,3 kg","0,8 m",70,55,55,80,60,45
0181,Ampharos,Tipo eléctrico,,Electricidad estática,,Más,"61,5 kg","1,4 m",90,75,85,115,90,55
0182,Bellossom,Tipo planta,,Clorofila,,Alma cura,"5,8 kg","0,4 m",75,80,95,90,100,50
0183,Marill,Tipo agua,Tipo hada,Sebo,Potencia,Herbívoro,"8,5 kg","0,4 m",70,20,50,20,50,40
0184,Azumarill,Tipo agua,Tipo hada,Sebo,Potencia,Herbívoro,"28,5 kg","0,8 m",100,50,80,60,80,50
0185,Sudowoodo,Tipo roca,,Robustez,Cabeza roca,Cobardía,"38,0 kg","1,2 m",70,100,115,30,65,30
0186,Politoed,Tipo agua,,Absorbe agua,Humedad,Llovizna,"33,9 kg","1,1 m",90,75,75,90,100,70
0187,Hoppip,Tipo planta,Tipo volador,Clorofila,Defensa hoja,Allanamiento,"0,5 kg","0,4 m",35,35,40,35,55,50
0188,Skiploom,Tipo planta,Tipo volador,Clorofila,Defensa hoja,Allanamiento,"1,0 kg","0,6 m",55,45,50,45,65,80
0189,Jumpluff,Tipo planta,Tipo volador,Clorofila,Defensa hoja,Allanamiento,"3,0 kg","0,8 m",75,55,70,55,95,110
0190,Aipom,Tipo normal,,Fuga,Recogida,Encadenado,"11,5 kg","0,8 m",55,70,55,40,55,85
0191,Sunkern,Tipo planta,,Clorofila,Poder solar,Madrugar,"1,8 kg","0,3 m",30,30,30,30,30,30
0192,Sunflora,Tipo planta,,Clorofila,Poder solar,Madrugar,"8,5 kg","0,8 m",75,75,55,105,85,30
0193,Yanma,Tipo bicho,Tipo volador,Impulso,Ojo compuesto,Cacheo,"38,0 kg","1,2 m",65,65,45,75,45,95
0194,Wooper,Tipo agua,Tipo tierra,Humedad,Absorbe agua,Ignorante,"8,5 kg","0,4 m",55,45,45,25,25,15
0194,Wooper de Paldea,Tipo veneno,Tipo tierra,Punto tóxico,Absorbe agua,Ignorante,"11,0 kg","0,4 m",55,45,45,25,25,15
0195,Quagsire,Tipo agua,Tipo tierra,Humedad,Absorbe agua,Ignorante,"75,0 kg","1,4 m",95,85,85,65,65,35
0196,Espeon,Tipo psíquico,,Sincronía,,Espejo mágico,"26,5 kg","0,9 m",65,65,60,130,95,110
0197,Umbreon,Tipo siniestro,,Sincronía,,Fuerza mental,"27,0 kg","1,0 m",95,65,110,60,130,65
0198,Murkrow,Tipo siniestro,Tipo volador,Insomnio,Afortunado,Bromista,"2,1 kg","0,5 m",60,85,42,85,42,91
0199,Slowking,Tipo agua,Tipo psíquico,Despiste,Ritmo propio,Regeneración,"79,5 kg","2,0 m",95,75,80,100,110,30
0199,Slowking de Galar,Tipo veneno,Tipo psíquico,Medicina extraña,Ritmo propio,Regeneración,"79,5 kg","1,8 m",95,65,80,110,110,30
0200,Misdreavus,Tipo fantasma,,Levitación,,,"1,0 kg","0,7 m",60,60,60,85,85,85
0201,Unown,Tipo psíquico,,Levitación,,,"5,0 kg","0,5 m",48,72,48,72,48,48
0202,Wobbuffet,Tipo psíquico,,Sombra trampa,,Telepatía,"28,5 kg","1,3 m",190,33,58,33,58,33
0203,Girafarig,Tipo normal,Tipo psíquico,Fuerza mental,Madrugar,Herbívoro,"41,5 kg","1,5 m",70,80,65,90,65,85
0204,Pineco,Tipo bicho,,Robustez,,Funda,"7,2 kg","0,6 m",50,65,90,35,35,15
0205,Forretress,Tipo bicho,Tipo acero,Robustez,,Funda,"125,8 kg","1,2 m",75,90,140,60,60,40
0206,Dunsparce,Tipo normal,,Dicha,Fuga,Cobardía,"14,0 kg","1,5 m",100,70,70,65,65,45
0207,Gligar,Tipo tierra,Tipo volador,Corte fuerte,Velo arena,Inmunidad,"64,8 kg","1,1 m",65,75,105,35,65,85
0208,Steelix,Tipo acero,Tipo tierra,Cabeza roca,Robustez,Potencia bruta,"400,0 kg","9,2 m",75,85,200,55,65,30
0209,Snubbull,Tipo hada,,Intimidación,Fuga,Cobardía,"7,8 kg","0,6 m",60,80,50,40,40,30
0210,Granbull,Tipo hada,,Intimidación,Pies rápidos,Cobardía,"48,7 kg","1,4 m",90,120,75,60,60,45
0211,Qwilfish,Tipo agua,Tipo veneno,Nado rápido,Punto tóxico,Intimidación,"3,9 kg","0,5 m",65,95,85,55,55,85
0211,Qwilfish de Hisui,Tipo siniestro,Tipo veneno,Nado rápido,Punto tóxico,Intimidación,"3,9 kg","0,5 m",65,95,85,55,55,85
0212,Scizor,Tipo bicho,Tipo acero,Enjambre,Experto,Metal liviano,"118,0 kg","1,8 m",70,130,100,55,80,65
0213,Shuckle,Tipo bicho,Tipo roca,Robustez,Gula,Respondón,"20,5 kg","0,6 m",20,10,230,10,230,5
0214,Heracross,Tipo bicho,Tipo lucha,Enjambre,Agallas,Autoestima,"54,0 kg","1,5 m",80,125,75,40,95,85
0215,Sneasel,Tipo siniestro,Tipo hielo,Fuerza mental,Vista lince,Hurto,"28,0 kg","0,9 m",55,95,55,35,75,115
0215,Sneasel de Hisui,Tipo lucha,Tipo veneno,Fuerza mental,Vista lince,Hurto1,"27,0 kg","0,9 m",55,95,55,35,75,115
0216,Teddiursa,Tipo normal,,Recogida,Pies rápidos,Recogemiel,"8,8 kg","0,6 m",60,80,50,50,50,40
0217,Ursaring,Tipo normal,,Agallas,Pies rápidos,Nerviosismo,"125,8 kg","1,8 m",90,130,75,75,75,55
0218,Slugma,Tipo fuego,,Cuerpo llama,Escudo magma,Armadura frágil,"35,0 kg","0,7 m",40,40,40,70,40,20
0219,Magcargo,Tipo fuego,Tipo roca,Cuerpo llama,Escudo magma,Armadura frágil,"55,0 kg","0,8 m",60,50,120,90,80,30
0220,Swinub,Tipo hielo,Tipo tierra,Despiste,Manto níveo,Sebo,"6,5 kg","0,4 m",50,50,40,30,30,50
0221,Piloswine,Tipo hielo,Tipo tierra,Despiste,Manto níveo,Sebo,"55,8 kg","1,1 m",100,100,80,60,60,50
0222,Corsola,Tipo agua,Tipo roca,Cura natural,Entusiasmo,Regeneración,"5,0 kg","0,6 m",65,55,95,65,95,35
0222,Corsola de Galar,Tipo fantasma,,Armadura frágil,,Cuerpo maldito,"0,5 kg","0,6 m",60,55,100,65,100,30
0223,Remoraid,Tipo agua,,Entusiasmo,Francotirador,Veleta,"12,0 kg","0,6 m",35,65,35,65,35,65
0224,Octillery,Tipo agua,,Ventosas,Francotirador,Veleta,"28,5 kg","0,9 m",75,105,75,105,75,45
0225,Delibird,Tipo hielo,Tipo volador,Espíritu vital,Entusiasmo,Insomnio,"16,0 kg","0,9 m",45,55,45,65,45,75
0226,Mantine,Tipo agua,Tipo volador,Nado rápido,Absorbe agua,Velo agua,220 kg,"2,1 m",85,40,70,80,140,70
0227,Skarmory,Tipo acero,Tipo volador,Vista lince,Robustez,Armadura frágil,"50,5 kg","1,7 m",65,80,140,40,70,70
0228,Houndour,Tipo siniestro,Tipo fuego,Absorbe fuego,Madrugar,Nerviosismo,"10,8 kg","0,6 m",45,60,30,80,50,65
0229,Houndoom,Tipo siniestro,Tipo fuego,Madrugar,Absorbe fuego,Nerviosismo,"35,0 kg","1,4 m",75,90,50,110,80,95
0230,Kingdra,Tipo agua,Tipo dragón,Nado rápido,Francotirador,Humedad,"152,0 kg","1,8 m",75,95,95,95,95,85
0231,Phanpy,Tipo tierra,,Recogida,,Velo arena,"33,5 kg","0,5 m",90,60,60,40,40,40
0232,Donphan,Tipo tierra,,Robustez,,Velo arena,"120,0 kg","1,1 m",90,120,120,60,60,50
0233,Porygon2,Tipo normal,,Calco,Descarga,Cálculo final,"32,5 kg","0,6 m",85,80,90,105,95,60
0234,Stantler,Tipo normal,,Intimidación,Cacheo,Herbívoro,"71,2 kg","1,4 m",73,95,62,85,65,85
0235,Smeargle,Tipo normal,,Ritmo propio,Experto,Veleta,"58,0 kg","1,2 m",55,20,35,20,45,75
0236,Tyrogue,Tipo lucha,,Agallas,Impasible,Espíritu vital,"21,0 kg","0,7 m",35,35,35,35,35,35
0237,Hitmontop,Tipo lucha,,Intimidación,Experto,Impasible,"48,0 kg","1,4 m",50,95,95,35,110,70
0238,Smoochum,Tipo hielo,Tipo psíquico,Despiste,Alerta,Hidratación,"6,0 kg","0,4 m",45,30,15,85,65,65
0239,Elekid,Tipo eléctrico,,Electricidad estática,,Espíritu vital,"23,5 kg","0,6 m",45,63,37,65,55,95
0240,Magby,Tipo fuego,,Cuerpo llama,,Espíritu vital,"21,4 kg","0,7 m",45,75,37,70,55,83
0241,Miltank,Tipo normal,,Sebo,Intrépido,Herbívoro,"75,5 kg","1,2 m",95,80,105,40,70,100
0242,Blissey,Tipo normal,,Cura natural,Dicha,Alma cura,"46,8 kg","1,5 m",255,10,10,75,135,55
0243,Raikou,Tipo eléctrico,,Presión,,Fuerza mental2,"178,0 kg","1,9 m",90,85,75,115,100,115
0244,Entei,Tipo fuego,,Presión,,Fuerza mental3,"198,0 kg","2,1 m",115,115,85,90,75,100
0245,Suicune,Tipo agua,,Presión,,Fuerza mental2,"187,0 kg","2,0 m",100,75,115,90,115,85
0246,Larvitar,Tipo roca,Tipo tierra,Agallas,,Velo arena,"72,0 kg","0,6 m",50,64,50,45,50,41
0247,Pupitar,Tipo roca,Tipo tierra,Mudar,,,152 kg,"1,2 m",70,84,70,65,70,51
0248,Tyranitar,Tipo roca,Tipo siniestro,Chorro arena,,Nerviosismo,"202,0 kg","2,0 m",100,134,110,95,100,61
0249,Lugia,Tipo psíquico,Tipo volador,Presión,,Multiescamas,"216,0 kg","5,2 m",106,90,130,90,154,110
0250,Ho-Oh,Tipo fuego,Tipo volador,Presión,,Regeneración,"199,0 kg","3,8 m",106,130,90,110,154,90
0251,Celebi,Tipo psíquico,Tipo planta,Cura natural,,,"5,0 kg","0,6 m",100,100,100,100,100,100
0252,Treecko,Tipo planta,,Espesura,,Liviano,"5,0 kg","0,5 m",40,45,35,65,55,70
0253,Grovyle,Tipo planta,,Espesura,,Liviano,"21,6 kg","0,9 m",50,65,45,85,65,95
0254,Sceptile,Tipo planta,,Espesura,,Liviano,"52,2 kg","1,7 m",70,85,65,105,85,120
0255,Torchic,Tipo fuego,,Mar llamas,,Impulso,"2,5 kg","0,4 m",45,60,40,70,50,45
0256,Combusken,Tipo fuego,Tipo lucha,Mar llamas,,Impulso,"19,5 kg","0,9 m",60,85,60,85,60,55
0257,Blaziken,Tipo fuego,Tipo lucha,Mar llamas,,Impulso,"52,0 kg","1,9 m",80,120,70,110,70,80
0258,Mudkip,Tipo agua,,Torrente,,Humedad,"7,6 kg","0,4 m",50,70,50,50,50,40
0259,Marshtomp,Tipo agua,Tipo tierra,Torrente,,Humedad,"28,0 kg","0,7 m",70,85,70,60,70,50
0260,Swampert,Tipo agua,Tipo tierra,Torrente,,Humedad,"81,9 kg","1,5 m",100,110,90,85,90,60
0261,Poochyena,Tipo siniestro,,Fuga,Pies rápidos,Cobardía,"13,6 kg","0,5 m",35,55,35,30,30,35
0262,Mightyena,Tipo siniestro,,Intimidación,Pies rápidos,Autoestima,"37,0 kg","1,0 m",70,90,70,60,60,70
0263,Zigzagoon,Tipo normal,,Recogida,Gula,Pies rápidos,"17,5 kg","0,4 m",38,30,41,30,41,60
0263,Zigzagoon de Galar,Tipo siniestro,Tipo normal,Recogida,Gula,Pies rápidos,"17,5 kg","0,4 m",38,30,41,30,41,60
0264,Linoone,Tipo normal,,Recogida,Gula,Pies rápidos,"32,5 kg","0,5 m",78,70,61,50,61,100
0264,Linoone de Galar,Tipo siniestro,Tipo normal,Recogida,Gula,Pies rápidos,"32,5 kg","0,5 m",78,70,61,50,61,100
0265,Wurmple,Tipo bicho,,Polvo escudo,,Fuga,"3,6 kg","0,3 m",45,45,35,20,30,20
0266,Silcoon,Tipo bicho,,Mudar,,,"10,0 kg","0,6 m",50,35,55,25,25,15
0267,Beautifly,Tipo bicho,Tipo volador,Enjambre,,Rivalidad,"28,4 kg","1,0 m",60,70,50,100,50,65
0268,Cascoon,Tipo bicho,,Mudar,,,"11,5 kg","0,7 m",50,35,55,25,25,15
0269,Dustox,Tipo bicho,Tipo veneno,Polvo escudo,,Ojo compuesto,"31,6 kg","1,2 m",60,50,70,50,90,65
0270,Lotad,Tipo agua,Tipo planta,Nado rápido,Cura lluvia,Ritmo propio,"2,6 kg","0,5 m",40,30,30,40,50,30
0271,Lombre,Tipo agua,Tipo planta,Nado rápido,Cura lluvia,Ritmo propio,"32,5 kg","1,2 m",60,50,50,60,70,50
0272,Ludicolo,Tipo agua,Tipo planta,Nado rápido,Cura lluvia,Ritmo propio,"55,0 kg","1,5 m",80,70,70,90,100,70
0273,Seedot,Tipo planta,,Clorofila,Madrugar,Hurto,"4,0 kg","0,5 m",40,40,50,30,30,30
0274,Nuzleaf,Tipo planta,Tipo siniestro,Clorofila,Madrugar,Hurto,"28,0 kg","1,0 m",70,70,40,60,40,60
0275,Shiftry,Tipo planta,Tipo siniestro,Clorofila,Surcavientos,Hurto,"59,6 kg","1,3 m",90,100,60,90,60,80
0276,Taillow,Tipo normal,Tipo volador,Agallas,,Intrépido,"2,3 kg","0,3 m",40,55,30,30,30,85
0277,Swellow,Tipo normal,Tipo volador,Agallas,,Intrépido,"19,8 kg","0,7 m",60,85,60,75,50,125
0278,Wingull,Tipo agua,Tipo volador,Vista lince,Hidratación,Cura lluvia,"9,5 kg","0,6 m",40,30,30,55,30,85
0279,Pelipper,Tipo agua,Tipo volador,Vista lince,Llovizna,Cura lluvia,"28,0 kg","1,2 m",60,50,100,95,70,65
0280,Ralts,Tipo psíquico,Tipo hada,Sincronía,Calco,Telepatía,"6,6 kg","0,4 m",28,25,25,45,35,40
0281,Kirlia,Tipo psíquico,Tipo hada,Sincronía,Calco,Telepatía,"20,2 kg","0,8 m",38,35,35,65,55,50
0282,Gardevoir,Tipo psíquico,Tipo hada,Sincronía,Calco,Telepatía,"48,4 kg","1,6 m",68,65,65,125,115,80
0283,Surskit,Tipo bicho,Tipo agua,Nado rápido,,Cura lluvia,"1,7 kg","0,5 m",40,30,32,50,52,65
0284,Masquerain,Tipo bicho,Tipo volador,Intimidación,,Nerviosismo,"3,6 kg","0,8 m",70,60,62,100,82,80
0285,Shroomish,Tipo planta,,Efecto espora,Antídoto,Pies rápidos,"4,5 kg","0,4 m",60,40,60,40,60,35
0286,Breloom,Tipo planta,Tipo lucha,Efecto espora,Antídoto,Experto,"39,2 kg","1,2 m",60,130,80,60,60,70
0287,Slakoth,Tipo normal,,Pereza,,,"24,0 kg","0,8 m",60,60,60,35,35,30
0288,Vigoroth,Tipo normal,,Espíritu vital,,,"46,5 kg","1,4 m",80,80,80,55,55,90
0289,Slaking,Tipo normal,,Pereza,,,"130,5 kg","2,0 m",150,160,100,95,65,100
0290,Nincada,Tipo bicho,Tipo tierra,Ojo compuesto,,Fuga,"5,5 kg","0,5 m",31,45,90,30,30,40
0291,Ninjask,Tipo bicho,Tipo volador,Impulso,,Allanamiento,"12,0 kg","0,8 m",61,90,45,50,50,160
0292,Shedinja,Tipo bicho,Tipo fantasma,Superguarda,,,"1,2 kg","0,8 m",1,90,45,30,30,40
0293,Whismur,Tipo normal,,Insonorizar,,Cobardía,"16,3 kg","0,6 m",64,51,23,51,23,28
0294,Loudred,Tipo normal,,Insonorizar,,Intrépido,"40,5 kg","1,0 m",84,71,43,71,43,48
0295,Exploud,Tipo normal,,Insonorizar,,Intrépido,"84,0 kg","1,5 m",104,91,63,91,73,68
0296,Makuhita,Tipo lucha,,Sebo,Agallas,Potencia bruta,"86,4 kg","1,0 m",72,60,30,20,30,25
0297,Hariyama,Tipo lucha,,Sebo,Agallas,Potencia bruta,"253,8 kg","2,3 m",144,120,60,40,60,50
0298,Azurill,Tipo normal,Tipo hada,Sebo,Potencia,Herbívoro,"2,0 kg","0,2 m",50,20,40,20,40,20
0299,Nosepass,Tipo roca,,Imán,Robustez,Poder arena,"97,0 kg","1,0 m",30,45,135,45,90,30
0300,Skitty,Tipo normal,,Gran encanto,Normalidad,Piel milagro,"11,0 kg","0,6 m",50,45,45,35,35,50
0301,Delcatty,Tipo normal,,Gran encanto,Normalidad,Piel milagro,"32,6 kg","1,1 m",70,65,65,55,55,90
0302,Sableye,Tipo siniestro,Tipo fantasma,Vista lince,Rezagado,Bromista,"11,0 kg","0,5 m",50,75,75,65,65,50
0303,Mawile,Tipo acero,Tipo hada,Intimidación,Corte fuerte,Potencia bruta,"11,5 kg","0,6 m",50,85,85,55,55,50
0304,Aron,Tipo acero,Tipo roca,Robustez,Cabeza roca,Metal pesado,"60,0 kg","0,4 m",50,70,100,40,40,30
0305,Lairon,Tipo acero,Tipo roca,Robustez,Cabeza roca,Metal pesado,"120,0 kg","0,9 m",60,90,140,50,50,40
0306,Aggron,Tipo acero,Tipo roca,Robustez,Cabeza roca,Metal pesado,"360,0 kg","2,1 m",70,110,180,60,60,50
0307,Meditite,Tipo lucha,Tipo psíquico,Energía pura,,Telepatía,"11,2 kg","0,6 m",30,40,55,40,55,60
0308,Medicham,Tipo lucha,Tipo psíquico,Energía pura,,Telepatía,"31,5 kg","1,3 m",60,60,75,60,75,80
0309,Electrike,Tipo eléctrico,,Electricidad estática,Pararrayos,Menos,"15,2 kg","0,6 m",40,45,40,65,40,65
0310,Manectric,Tipo eléctrico,,Electricidad estática,Pararrayos,Menos,"40,2 kg","1,5 m",70,75,60,105,60,105
0311,Plusle,Tipo eléctrico,,Más,,Pararrayos2,"4,2 kg","0,4 m",60,50,40,85,75,95
0312,Minun,Tipo eléctrico,,Menos,,Absorbe electricidad1,"4,2 kg","0,4 m",60,40,50,75,85,95
0313,Volbeat,Tipo bicho,,Enjambre,Iluminación,Bromista,"17,7 kg","0,7 m",65,73,75,47,85,85
0314,Illumise,Tipo bicho,,Despiste,Cromolente,Bromista,"17,7 kg","0,6 m",65,47,75,73,85,85
0315,Roselia,Tipo planta,Tipo veneno,Cura natural,Punto tóxico,Defensa hoja,"2,0 kg","0,3 m",50,60,45,100,80,65
0316,Gulpin,Tipo veneno,,Viscosecreción,Viscosidad,Gula,"10,3 kg","0,4 m",70,43,53,43,53,40
0317,Swalot,Tipo veneno,,Viscosecreción,Viscosidad,Gula,"80,0 kg","1,7 m",100,73,83,73,83,55
0318,Carvanha,Tipo agua,Tipo siniestro,Piel tosca,,Impulso,"20,8 kg","0,8 m",45,90,20,65,20,65
0319,Sharpedo,Tipo agua,Tipo siniestro,Piel tosca,,Impulso,"88,8 kg","1,8 m",70,120,40,95,40,95
0320,Wailmer,Tipo agua,,Velo agua,Despiste,Presión,"130,0 kg","2,0 m",130,70,35,70,35,60
0321,Wailord,Tipo agua,,Velo agua,Despiste,Presión,"398,0 kg","14,5 m",170,90,45,90,45,60
0322,Numel,Tipo fuego,Tipo tierra,Despiste,Simple,Ritmo propio,"24,0 kg","0,7 m",60,60,40,65,45,35
0323,Camerupt,Tipo fuego,Tipo tierra,Escudo magma,Roca sólida,Irascible,"220,0 kg","1,9 m",70,100,70,105,75,40
0324,Torkoal,Tipo fuego,,Humo blanco,Sequía,Caparazón,"80,4 kg","0,5 m",70,85,140,85,70,20
0325,Spoink,Tipo psíquico,,Ritmo propio,Sebo,Gula,"30,6 kg","0,7 m",60,25,35,70,80,60
0326,Grumpig,Tipo psíquico,,Sebo,Ritmo propio,Gula,"71,5 kg","0,9 m",80,45,65,90,110,80
0327,Spinda,Tipo normal,,Ritmo propio,Tumbos,Respondón,"5,0 kg","1,1 m",60,60,60,60,60,60
0328,Trapinch,Tipo tierra,,Corte fuerte,Trampa arena,Potencia bruta,"15,0 kg","0,7 m",45,100,45,45,45,10
0329,Vibrava,Tipo tierra,Tipo dragón,Levitación,,,"15,3 kg","1,1 m",50,70,50,50,50,70
0330,Flygon,Tipo tierra,Tipo dragón,Levitación,,,"82,0 kg","2,0 m",80,100,80,80,80,100
0331,Cacnea,Tipo planta,,Velo arena,,Absorbe agua,"51,3 kg","0,4 m",50,85,40,85,40,35
0332,Cacturne,Tipo planta,Tipo siniestro,Velo arena,,Absorbe agua,"77,4 kg","1,3 m",70,115,60,115,60,55
0333,Swablu,Tipo normal,Tipo volador,Cura natural,,Aclimatación,"1,2 kg","0,4 m",45,40,60,40,75,50
0334,Altaria,Tipo dragón,Tipo volador,Cura natural,,Aclimatación,"20,6 kg","1,1 m",75,70,90,70,105,80
0335,Zangoose,Tipo normal,,Inmunidad,,Ímpetu tóxico,"40,3 kg","1,3 m",73,115,60,60,60,90
0336,Seviper,Tipo veneno,,Mudar,,Allanamiento,"52,5 kg","2,7 m",73,100,60,100,60,65
0337,Lunatone,Tipo roca,Tipo psíquico,Levitación,,,"168,0 kg","1,0 m",90,55,65,95,85,70
0338,Solrock,Tipo roca,Tipo psíquico,Levitación,,,"154,0 kg","1,2 m",90,95,85,55,65,70
0339,Barboach,Tipo agua,Tipo tierra,Despiste,Anticipación,Hidratación,"1,9 kg","0,4 m",50,48,43,46,41,60
0340,Whiscash,Tipo agua,Tipo tierra,Despiste,Anticipación,Hidratación,"23,6 kg","0,9 m",110,78,73,76,71,60
0341,Corphish,Tipo agua,,Corte fuerte,Caparazón,Adaptable,"11,5 kg","0,6 m",43,80,65,50,35,35
0342,Crawdaunt,Tipo agua,Tipo siniestro,Caparazón,Corte fuerte,Adaptable,"32,8 kg","1,1 m",63,120,85,90,55,55
0343,Baltoy,Tipo tierra,Tipo psíquico,Levitación,,,"21,5 kg","0,5 m",40,40,55,40,70,55
0344,Claydol,Tipo tierra,Tipo psíquico,Levitación,,,"108,0 kg","1,5 m",60,70,105,70,120,75
0345,Lileep,Tipo roca,Tipo planta,Ventosas,,Colector,"23,8 kg","1,0 m",66,41,77,61,87,23
0346,Cradily,Tipo roca,Tipo planta,Ventosas,,Colector,"60,4 kg","1,5 m",86,81,97,81,107,43
0347,Anorith,Tipo roca,Tipo bicho,Armadura batalla,,Nado rápido,"12,5 kg","0,7 m",45,95,50,40,50,75
0348,Armaldo,Tipo roca,Tipo bicho,Armadura batalla,,Nado rápido,"68,2 kg","1,5 m",75,125,100,70,80,45
0349,Feebas,Tipo agua,,Nado rápido,Despiste,Adaptable,"7,4 kg","0,6 m",20,15,20,10,55,80
0350,Milotic,Tipo agua,,Escama especial,Tenacidad,Gran encanto,"162,0 kg","6,2 m",95,60,79,100,125,81
0351,Castform,Tipo normal,,Predicción,,,"0,8 kg","0,3 m",70,70,70,70,70,70
0352,Kecleon,Tipo normal,,Cambio color,,Mutatipo1,"22,0 kg","1,0 m",60,90,70,60,120,40
0353,Shuppet,Tipo fantasma,,Insomnio,Cacheo,Cuerpo maldito,"2,3 kg","0,6 m",44,75,35,63,33,45
0354,Banette,Tipo fantasma,,Insomnio,Cacheo,Cuerpo maldito,"12,5 kg","1,1 m",64,115,65,83,63,65
0355,Duskull,Tipo fantasma,,Levitación,,Cacheo2,"15,0 kg","0,8 m",20,40,90,30,90,25
0356,Dusclops,Tipo fantasma,,Presión,,Cacheo2,"30,6 kg","1,6 m",40,70,130,60,130,25
0357,Tropius,Tipo planta,Tipo volador,Clorofila,Poder solar,Cosecha,"100,0 kg","2,0 m",99,68,83,72,87,51
0358,Chimecho,Tipo psíquico,,Levitación,,,"1,0 kg","0,6 m",75,50,80,95,90,65
0359,Absol,Tipo siniestro,,Presión,Afortunado,Justiciero,"47,0 kg","1,2 m",65,130,60,75,60,75
0360,Wynaut,Tipo psíquico,,Sombra trampa,,Telepatía,"14,0 kg","0,6 m",95,23,48,23,48,23
0361,Snorunt,Tipo hielo,,Fuerza mental,Gélido,Veleta,"16,8 kg","0,7 m",50,50,50,50,50,50
0362,Glalie,Tipo hielo,,Fuerza mental,Gélido,Veleta,"256,5 kg","1,5 m",80,80,80,80,80,80
0363,Spheal,Tipo hielo,Tipo agua,Sebo,Gélido,Despiste,"39,5 kg","0,8 m",70,40,50,55,50,25
0364,Sealeo,Tipo hielo,Tipo agua,Sebo,Gélido,Despiste,"87,6 kg","1,1 m",90,60,70,75,70,45
0365,Walrein,Tipo hielo,Tipo agua,Sebo,Gélido,Despiste,"150,6 kg","1,4 m",110,80,90,95,90,65
0366,Clamperl,Tipo agua,,Caparazón,,Cobardía,"52,5 kg","0,4 m",35,64,85,74,55,32
0367,Huntail,Tipo agua,,Nado rápido,,Velo agua,"27,0 kg","1,7 m",55,104,105,94,75,52
0368,Gorebyss,Tipo agua,,Nado rápido,,Hidratación,"22,6 kg","1,8 m",55,84,105,114,75,52
0369,Relicanth,Tipo agua,Tipo roca,Cabeza roca,Nado rápido,Robustez,"23,4 kg","1,0 m",100,90,130,45,65,55
0370,Luvdisc,Tipo agua,,Nado rápido,,Hidratación,"8,7 kg","0,6 m",43,30,55,40,65,97
0371,Bagon,Tipo dragón,,Cabeza roca,,Potencia bruta,"42,1 kg","0,6 m",45,75,60,40,30,50
0372,Shelgon,Tipo dragón,,Cabeza roca,,Funda,"110,5 kg","1,1 m",65,95,100,60,50,50
0373,Salamence,Tipo dragón,Tipo volador,Intimidación,,Autoestima,"102,6 kg","1,5 m",95,135,80,110,80,100
0374,Beldum,Tipo acero,Tipo psíquico,Cuerpo puro,,Metal liviano,"95,2 kg","0,6 m",40,55,80,35,60,30
0375,Metang,Tipo acero,Tipo psíquico,Cuerpo puro,,Metal liviano,"202,5 kg","1,2 m",60,75,100,55,80,50
0376,Metagross,Tipo acero,Tipo psíquico,Cuerpo puro,,Metal liviano,"550,0 kg","1,6 m",80,135,130,95,90,70
0377,Regirock,Tipo roca,,Cuerpo puro,,Robustez,"230,0 kg","1,7 m",80,100,200,50,100,50
0378,Regice,Tipo hielo,,Cuerpo puro,,Gélido,"175,0 kg","1,8 m",80,50,100,100,200,50
0379,Registeel,Tipo acero,,Cuerpo puro,,Metal liviano,"205,0 kg","1,9 m",80,75,150,75,150,50
0380,Latias,Tipo dragón,Tipo psíquico,Levitación,,,"40,0 kg","1,4 m",80,80,90,110,130,110
0381,Latios,Tipo dragón,Tipo psíquico,Levitación,,,"60,0 kg","2,0 m",80,90,80,130,110,110
0382,Kyogre,Tipo agua,,Llovizna,,,"352,0 kg","4,5 m",100,100,90,150,140,90
0383,Groudon,Tipo tierra,,Sequía,,,"950,0 kg","3,5 m",100,150,140,100,90,90
0384,Rayquaza,Tipo dragón,Tipo volador,Esclusa de aire,,,"206,5 kg","7,0 m",105,150,90,150,90,95
0385,Jirachi,Tipo acero,Tipo psíquico,Dicha,,,"1,1 kg","0,3 m",100,100,100,100,100,100
0386,Deoxys,Tipo psíquico,,Presión,,,"60,8 kg","1,7 m",50,150,50,150,50,150
0387,Turtwig,Tipo planta,,Espesura,,Caparazón,"10,2 kg","0,4 m",55,68,64,45,55,31
0388,Grotle,Tipo planta,,Espesura,,Caparazón,"97,0 kg","1,1 m",75,89,85,55,65,36
0389,Torterra,Tipo planta,Tipo tierra,Espesura,,Caparazón,"310,0 kg","2,2 m",95,109,105,75,85,56
0390,Chimchar,Tipo fuego,,Mar llamas,,Puño férreo,"6,2 kg","0,5 m",44,58,44,58,44,61
0391,Monferno,Tipo fuego,Tipo lucha,Mar llamas,,Puño férreo,"22,0 kg","0,9 m",64,78,52,78,52,81
0392,Infernape,Tipo fuego,Tipo lucha,Mar llamas,,Puño férreo,"55,0 kg","1,2 m",76,104,71,104,71,108
0393,Piplup,Tipo agua,,Torrente,,Tenacidad3,"5,2 kg","0,4 m",53,51,53,61,56,40
0394,Prinplup,Tipo agua,,Torrente,,Tenacidad1,"23,0 kg","0,8 m",64,66,68,81,76,50
